rank,content_id,score,action,reason_code
345,content_3bed5e7f1d0f,0.845,refresh_review,visibility_opportunity
346,content_0c7ff518816e,0.845,refresh_review,stale_high_volume
347,content_d73b842a64e6,0.845,refresh_review,visibility_opportunity
348,content_dd4364510947,0.845,refresh_review,visibility_opportunity
349,content_1956a8699d64,0.845,refresh_review,visibility_opportunity
350,content_6a9cd9678ddf,0.845,refresh_review,stale_high_volume
351,content_ad5347f06460,0.845,refresh_review,stale_high_volume
352,content_7a6746b30eee,0.84,refresh_review,visibility_opportunity
353,content_72a51b4538b7,0.84,refresh_review,visibility_opportunity
354,content_3d6236696109,0.84,refresh_review,visibility_opportunity
355,content_53d444b9e788,0.84,refresh_review,stale_high_volume
356,content_b84a5df88090,0.84,refresh_review,visibility_opportunity
357,content_300c70929b3f,0.84,refresh_review,visibility_opportunity
358,content_65d2cecfb022,0.84,refresh_review,visibility_opportunity
359,content_37e3e5682728,0.84,refresh_review,stale_high_volume
360,content_9ef5d2b775b8,0.84,refresh_review,visibility_opportunity
361,content_f69e3936c5ca,0.84,refresh_review,visibility_opportunity
362,content_8c5405b0ce59,0.84,refresh_review,visibility_opportunity
363,content_81daf6da2ed4,0.84,refresh_review,stale_high_volume
364,content_2eb047841032,0.84,refresh_review,stale_high_volume
365,content_8ba922f82ace,0.84,refresh_review,stale_high_volume
366,content_e2a573f2180b,0.84,refresh_review,stale_high_volume
367,content_8059c0222f8d,0.84,refresh_review,visibility_opportunity
368,content_454ad2864776,0.84,refresh_review,visibility_opportunity
369,content_c40391b61a4e,0.84,refresh_review,stale_high_volume
370,content_cebd12c46707,0.84,refresh_review,visibility_opportunity
371,content_8958ba0e63fc,0.84,refresh_review,visibility_opportunity
372,content_a7da3b5b03ed,0.84,refresh_review,stale_high_volume
373,content_6596b1355bab,0.84,refresh_review,stale_high_volume
374,content_238cdd85cbc9,0.84,refresh_review,visibility_opportunity
375,content_f155a0aa9e9e,0.84,refresh_review,visibility_opportunity
376,content_aeac86cce60d,0.84,refresh_review,visibility_opportunity
377,content_a86f00a2e0ce,0.84,refresh_review,stale_high_volume
378,content_f126b11258e3,0.84,refresh_review,visibility_opportunity
379,content_3023680512a5,0.84,refresh_review,visibility_opportunity
380,content_02500296ad9a,0.84,refresh_review,visibility_opportunity
381,content_eb58f272b967,0.84,refresh_review,visibility_opportunity
382,content_3b8aad044ee2,0.835,refresh_review,stale_high_volume
383,content_edf503934290,0.835,refresh_review,stale_high_volume
384,content_bcc95460460e,0.835,refresh_review,stale_high_volume
385,content_50b705edfd99,0.835,refresh_review,stale_high_volume
386,content_c4b138c22942,0.835,refresh_review,visibility_opportunity
387,content_459756cca996,0.835,refresh_review,visibility_opportunity
388,content_7766ffacdcfa,0.835,refresh_review,stale_high_volume
389,content_3395aba722a2,0.835,refresh_review,visibility_opportunity
390,content_25f3df513e2e,0.835,refresh_review,visibility_opportunity
391,content_461eb9f35e52,0.835,refresh_review,stale_high_volume
392,content_3535b372cd43,0.835,refresh_review,visibility_opportunity
393,content_ab5e9e3a0a8f,0.835,refresh_review,visibility_opportunity
394,content_039787762f67,0.835,refresh_review,visibility_opportunity
395,content_700de55b1459,0.835,refresh_review,stale_high_volume
396,content_41eb625c4aca,0.835,refresh_review,visibility_opportunity
397,content_70df0e029635,0.835,refresh_review,visibility_opportunity
398,content_e26959d7dd4b,0.835,refresh_review,visibility_opportunity
399,content_8d3d36fb50bb,0.835,refresh_review,visibility_opportunity
400,content_77cef913977c,0.835,refresh_review,stale_high_volume
401,content_0fe2b5eda5c5,0.835,refresh_review,visibility_opportunity
402,content_ea03fc0ede4f,0.835,refresh_review,stale_high_volume
403,content_a52671f20358,0.835,refresh_review,visibility_opportunity
404,content_b3064bf4f105,0.835,refresh_review,visibility_opportunity
405,content_a0f2c6f4145c,0.835,refresh_review,stale_high_volume
406,content_dbf29df094f9,0.835,refresh_review,stale_high_volume
407,content_037e2942d68b,0.835,refresh_review,visibility_opportunity
408,content_6e890a4cc9f9,0.835,refresh_review,visibility_opportunity
409,content_760b931d5f22,0.835,refresh_review,visibility_opportunity
410,content_0afe3d55f4dc,0.835,refresh_review,stale_high_volume
411,content_b7fa2d76e5ae,0.835,refresh_review,stale_high_volume
412,content_3aa51c5df66b,0.83,refresh_review,stale_high_volume
413,content_f8d20d27773f,0.83,refresh_review,stale_high_volume
414,content_56afb8453fdd,0.83,refresh_review,visibility_opportunity
415,content_abef99f293a8,0.83,refresh_review,visibility_opportunity
416,content_6677fd6c4ea5,0.83,refresh_review,stale_high_volume
417,content_5c4c5c953552,0.83,refresh_review,visibility_opportunity
418,content_6fe71b8e8e19,0.83,refresh_review,visibility_opportunity
419,content_de79be03fa06,0.83,refresh_review,stale_high_volume
420,content_6e169e224b2e,0.83,refresh_review,visibility_opportunity
421,content_da33a53074bd,0.83,refresh_review,stale_high_volume
422,content_287466584c52,0.83,refresh_review,stale_high_volume
423,content_ff4dac7dd334,0.83,refresh_review,stale_high_volume
424,content_b925c292d21b,0.83,refresh_review,visibility_opportunity
425,content_a6ca34ee4c5e,0.83,refresh_review,stale_high_volume
426,content_36dd471dc460,0.83,refresh_review,stale_high_volume
427,content_04f99090dc2c,0.83,refresh_review,visibility_opportunity
428,content_5ed1aa17875a,0.83,refresh_review,visibility_opportunity
429,content_a2d394e98056,0.83,refresh_review,stale_high_volume
430,content_1c2a062b2721,0.83,refresh_review,visibility_opportunity
431,content_0f256e5b0b88,0.83,refresh_review,stale_high_volume
432,content_79523354f68c,0.83,refresh_review,visibility_opportunity
433,content_769a421d4a73,0.83,refresh_review,stale_high_volume
434,content_4ead9ab22a4a,0.83,refresh_review,stale_high_volume
435,content_5e2d7ea6844d,0.83,refresh_review,visibility_opportunity
436,content_ecfbe983a886,0.83,refresh_review,visibility_opportunity
437,content_27a9abf3684f,0.83,refresh_review,visibility_opportunity
438,content_3def2ad70050,0.83,refresh_review,visibility_opportunity
439,content_639b9e356f82,0.83,refresh_review,visibility_opportunity
440,content_72c5c2d73e5a,0.83,refresh_review,stale_high_volume
